very slow,slow,fast,very fast
The waiting time is extremely long.,I cannot bear the waiting time,The service is good.,I enjoy the high speed service.
The server is very slow.,The service is slow.,Fast speed.,The service is very fast.
The server performs terrible.,Faster speed is required.,Good service.,The server is extremely fast.
I am waiting too long for the service.,Slow service. ,The server is fine.,The waiting time is very short.
I really need faster performance.,The server should be faster.,The service is OK.,Very good service.
The waiting time is extremely long.,I cannot bear the waiting time,The service is good.,I enjoy the high speed service.
The server is very slow.,The service is slow.,Fast speed.,The service is very fast.
The server performs terrible.,Faster speed is required.,Good service.,The server is extremely fast.
I am waiting too long for the service.,Slow service. ,The server is fine.,The waiting time is very short.
The system is too slow.  Waiting endlessly,Wait never ends,Just good enough for my tasks.,Wow. Its great. Nice Job.
Too much sluggishness. Make the service fast ,Can't you make it fast?,Nothing more nothing less,Perfect for my jobs. I liked it.
Extremely slow and not responding.,Why this is slow? ,I'm satisfied. But need more improvement,Super fast. This is fantastic
Place the job an hour ago and still not started. What the hell?,My job was in queue for an hour. Who else will wait for this long?,its OK Not that bad.,Awesome my jobs finished in seconds. 
How long I have to wait here ?,The system is not responding. Please fix it,Good. ,love this service Beyond my expectations. Keep it up
The service is very slow.,The service is slow.,The service is quick.,The service is very quick.
The service is taking way too long.,The service is taking a while.,The service is satisfactory,The service is excellent
The service is too slow.,The service is kind of slow.,The service is good enough,The service is superb.
The service is still not done,The service is not very fast.,The service is average.,The service is outstanding.
The service is taking ages,The service could be faster,The service is decent.,The service is really good
The service is super slow.,The service slow.,The service works okay.,This service works great.
Is there something wrong with the service.,The service does not work fast enough. ,The service loads at a decent time.,I'm impressed with the speed
It takes too long to use this service.,The service hangs when trying to use it,It loads very fast,This service is so fast
The service takes too long to use.,I need the service to work faster,I never have to wait for the service,There's almost no wait time for the service
The system is unusable,Is there something I can do to make the service run faster.,A very speedy service,The service works in no time
I cannot believe how long this is taking.,You really need to work on your speeds,Everything is great,This service is fantastically fast
Seriously 50 Minutes for one query.,I can use this but it could be much better,Im super happy with these speeds,Loading times are nearly Instanteous
Is this service working I think it may be down,I'm not getting very good response times,Loading times are short,I'm really digging these lightning fast speeds
I can't use this it's too slow,I feel as though my speeds could be faster on these queries,Downloads are going quickly ,Im getting subsecond response times on these queries
Please fix this system is unuseable at these speeds,The data is taking forever to download,Im experiencing no delays in using your service,Good job your service is great.
