very slow, slow, fast, very fast, want to pay more for better performance
The waiting time is extremely long.,I cannot bear the waiting time,The service is good.,I enjoy the high speed service.,I don't care about money. I only care about speed.
The server is very slow.,The service is slow.,Fast speed.,The service is very fast.,I would like to purchase better performance with money.
The server performs terrible.,Faster speed is required.,Good service.,The server is extremely fast.,I want to purchase faster speed service. 
I am waiting too long for the service.,Slow service. ,The server is fine.,The waiting time is very short.,I prefer to buy faster service.
I really need faster performance.,The server should be faster.,The service is OK.,Very good service.,I want to buy better performance.
The system is too slow.  Waiting endlessly,Wait never ends,Just good enough for my tasks.,Wow. Its great. Nice Job.,I am interested paying more for a better service
Too much sluggishness. Make the service fast ,Can't you make it fast,Nothing more nothing less,Perfect for my jobs. I liked it.,If more money makes it fast I’m in
Extremely slow and not responding.,Why this is slow,I'm satisfied. But need more improvement,Super fast. This is fantastic,I can pay little more Cant you make it fast
Place the job an hour ago and still not started. What the hell,My job was in queue for an hour. Who else will wait for this long,its Ok. Not that bad.,Awesome. My jobs finished in seconds. ,I want more speed. Money is not a big deal. I can pay more
How long I have to wait here,The system is not responding. Please fix it,Good. ,love this service Beyond my expectations Keep it up,I am glad to pay more for a speedy service.
